course_code,course_name,credits,day,start_time,end_time,room,lecturer,exam_date,exam_session
BAP3103,CORPORATE COMMUNICATION,3,TU,9:30,11:20,SBB 307,ASST.PROF.KIJJA,22-10-25,A
BAP3104,PRINCIPLES OF ART & DESIGN FOR ADVERTISING,3,TU,11:30,13:20,SB512,,26-10-25,B
BAP3105,MEDIA FOR ADVERTISING AND PUBLIC RELATIONS,3,TH,13:30,15:20,SBB 304,DR.NALIN,18-10-25,B
BAP3106,PRODUCTION TECHNIQUE FOR ADVERTISING AND,3,TU,11:30,13:20,SB513,,24-10-25,A
BAP3107,ACCOUNT EXECUTIVE MANAGEMENT,3,TU,13:30,15:20,SBB 305,ASSOC.PROF.KANOPPAN,26-10-25,B
BAP3108,RESEARCH FOR ADVERTISING AND PUBLIC,3,W,11:30,13:20,SBB 305,,15-10-25,A
BAP3109,ADVERTISING CONTENT AND CREATIVITY,3,W,9:30,11:20,SWB 604,,29-10-25,A
BAP3110,PUBLIC RELATIONS CONTENT AND CREATIVITY,3,W,11:30,13:20,SBB 301,ASSOC.PROF.KANOPPAN,19-10-25,B
BAP4114,DIGITAL MEDIA ADVERTISING,3,TU,9:30,11:20,SB512,,26-10-25,A
BAP4117,CURRENT ISSUE IN ADVERTISING AND PUBLIC,3,M,9:30,11:20,SBB 306,ASST.PROF.KIJJA,17-10-25,B
BDS2100,MAN AND RELIGION,3,TU,15:30,17:20,HUB1507,ASSOC.PROF.DR.NARURMON,,
BDS3201,BUDDHIST EPISTEMOLOGY,3,TU,11:30,13:20,HUB1507,,,
BDS3305,BUDDHISM AND THAI SOCIETY,3,TU,13:30,15:20,HUB1501,,,
BDS4305,INDIVIDUAL STUDY,3,M,15:30,17:20,HUB1501,,,
BID3301,COMMUNITY ECOLOGY,3,TU,11:30,13:20,SCO 409,ASSOC.PROF.DR.THAMASAK,,
BID4201,CONSERVATION BIOLOGY,3,W,7:30,9:20,SCO 411,ASSOC.PROF.DR.THAMASAK,,
BID4501,ORGANISM AND ENVIRONMENT,3,TH,9:30,11:20,SCO 315,,,
BID4501,ORGANISM AND ENVIRONMENT,3,TH,13:30,16:30,SCO 315,,,
BID4804,AQUATIC BIOLOGY,3,TU,13:30,15:20,SCL 515,DR.ATCHANEEY,,
BID4901,SEMINAR IN BIODIVERSITY,1,TU,9:30,10:30,SCL 512,ASST.PROF.DR.VASUN; ASST.PROF.DR.SUPANEE; ASST.PROF.DR.THANIWAN; DR.THANYANUCH,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,W,13:30,16:30,SCL 406,DR.ATCHANEEY,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,F,9:30,12:30,SCL 406,DR.ATCHANEEY; DR.ATCHANEEY,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,F,13:30,16:30,SCL 406,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,M,9:30,12:30,SCO 318,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,TU,9:30,12:30,SCO 318,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,TU,13:30,16:30,SCO 318,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,TU,9:30,12:30,SCO 308,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY; ASST.PROF.DR.VASUN,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,TU,13:30,16:30,SCO 308,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,F,9:30,12:30,SCO 308,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,TU,13:30,16:30,SCO 318,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN; ASST.PROF.DR.CHAIWAT,,
